logFC,logCPM,LR,PValue,FDR,gene
-2.771824005878685,10.145556484789767,172.0725612767748,2.6092403225280015e-39,5.664395622133751e-36,TACSTD2
-3.393038388440258,7.864827930210494,171.65756550265039,3.2147534745367486e-39,5.664395622133751e-36,CLDN7
-1.7523499888424192,7.226422974019871,74.14788693665051,7.2478623213510808e-18,8.513822273480403e-15,SOX9
-1.464943919308708,8.214941950196879,70.98127748841335,3.606309615708026e-17,3.1771587714387713e-14,ARHGAP23
-2.488657706590246,5.801290185558834,69.94397641694617,6.101293602510077e-17,4.3001917310491016e-14,EPHA1
-3.051063413442775,4.904884777330798,65.43725538862981,5.999396020406434e-16,3.5236452626520457e-13,NCCRP1
-2.234941244865083,6.641067269593632,61.62340493383071,4.158461084411237e-15,2.093488123066457e-12,TMEM30B
-3.8543873300715226,3.201683561010217,57.35175539058213,3.644379075559398e-14,1.605348982783915e-11,KRTAP2-3
-4.679065894153419,2.662341206684355,56.53770360639912,5.513106612698564e-14,2.1586875225721933e-11,PRSS22
-2.6174623424322805,5.700206005849799,54.82943251194313,1.314572891238155e-13,4.632554868723258e-11,ANKRD22
2.067398755765737,5.535006593316133,51.71024534668196,6.432620254552304e-13,2.0607776160947564e-10,CLEC2B
-2.6925411845176006,8.038892059840293,49.3649387684425,2.1250999214483727e-12,6.240710102653388e-10,SPRR1B
-4.032222721858605,3.223780522130618,47.82662782317822,4.656248796705786e-12,1.1601827691674346e-9,KRT23
2.288173377225496,5.723842384129126,47.77724524021666,4.7750207778141355e-12,1.1601827691674346e-9,C1R
-1.3487408813613109,7.473578125723381,47.71130826462589,4.93834890394765e-12,1.1601827691674346e-9,CDC42BPG
-1.1725284134930256,8.623585233028505,44.63385906488753,2.375478724287538e-11,5.231991890243303e-9,CAMK2N1
-2.1214629222425976,5.254856176524655,44.28157206846603,2.843806837099823e-11,5.895044290552809e-9,ONECUT3
-3.0116097810836915,3.701425841900982,42.64786596958279,6.55358879469377e-11,1.2830470506944913e-8,SOWAHB
-1.5140059428486976,12.619224908632464,42.489963962118964,7.104583297641395e-11,1.3177132389941198e-8,S100A14
1.2988072741027665,7.790625964336,42.091663176019296,8.709369930503491e-11,1.534590981754715e-8,CFB
-1.7321339368123914,6.652946920238284,41.96835548720375,9.276251176203982e-11,1.5566432926163252e-8,CRABP2
-6.426073605818357,1.9045116270755407,41.63601806154693,1.0994889877253749e-10,1.7611814512473733e-8,PSMC1P5
-2.6425371245083826,4.158457374530144,41.15490950119272,1.4062958188031641e-10,2.154689767592326e-8,TINCR
-2.9717551255621424,3.893792393135679,39.46614484118832,3.337965504499678e-10,4.901246015773694e-8,CST6
-1.2557967509093089,8.485667330154387,39.15549403677602,3.9136043001131793e-10,5.516616621439538e-8,MALL
-1.2998087732315808,7.020835474997847,38.47202288267397,5.554424333450903e-10,7.528381288877302e-8,RHOF
-3.6203973998322723,1.4748275147142305,36.99450526532474,1.1846261213062552e-9,1.5461564635123124e-7,CXorf49
-3.5141437757115,3.1717022431728177,35.294447734715725,2.834389499442866e-9,3.5672816414416644e-7,KLK9
-1.2967808881461849,8.24197178428505,35.13024139819947,3.083744586910452e-9,3.747281353197391e-7,MISP
-1.1698974717900714,8.444522885357486,34.89690767141066,3.476325512858068e-9,4.0835237024372774e-7,LRATD2
1.703184766739894,5.456095544530445,34.83076903771295,3.596444690500348e-9,4.0883455126849116e-7,PAG1
-6.408595489308576,1.8984835923622483,33.99652070223912,5.5210710675167e-9,6.080079513102766e-7,LOC107987423
-2.8853995893732303,2.4549157047970964,31.869555158558562,1.6488131489628785e-8,1.694863807833246e-6,CASP14
-2.562432959498188,3.300629898915654,31.84440294084735,1.6703029304144286e-8,1.694863807833246e-6,C1orf210
-3.2549371095702804,2.4823198120604726,31.829323378893005,1.6833210350216688e-8,1.694863807833246e-6,RNF223
-1.8065756673452102,5.258079684501577,31.74456705584252,1.7584046135589056e-8,1.721282738383773e-6,TTC9
-2.3977491072643073,2.9771637463763314,31.204058282393564,2.3227997582652154e-8,2.2123098238180053e-6,MIA
-3.1039164119039997,2.9765339193610716,30.96859979858405,2.622368708272921e-8,2.431901928408888e-6,ZNF750
4.2812187884095065,1.9173262619817744,30.117254377100426,4.0669658745343965e-8,3.674868651758773e-6,FABP4
-1.091682534726298,7.538143898434578,29.93119643906772,4.476520845224438e-8,3.943814864642729e-6,PPP1R14C
2.8258417870913877,1.679475125552617,29.576899163027594,5.37416304446905e-8,4.619158675294861e-6,LUM
1.6550097117235363,14.056430367987755,29.529443494095176,5.5073670905243375e-8,4.620943244525658e-6,KRT14
-2.346473607200338,4.114271919188993,29.080507841049275,6.943205634499391e-8,5.690199222319966e-6,IGFL1
-2.8787767835500655,1.625281942077679,29.009601133441,7.202046137511833e-8,5.768184224679932e-6,CXorf49B
-1.57985981538884,5.805874037043296,28.934564322790287,7.48650146114202e-8,5.862762477569885e-6,SERTAD4
-2.0050754598491407,3.807077602477482,27.185610365712073,1.8482921292828124e-7,1.4159524920853545e-5,CXCR1
-1.6678624768340369,6.487276608948846,26.988857529079027,2.046316836832239e-7,1.5343022410631512e-5,GJA5
-2.720114765903644,4.263288318375878,26.811006188461587,2.243559088518519e-7,1.647146297487346e-5,PRR15L
-2.050954165597481,3.7242375097430545,26.646774132320218,2.442582623115236e-7,1.7566655436445086e-5,TMC4
-2.7896318568814094,1.7840538095164153,26.556610494930666,2.559274993883102e-7,1.8037770156888103e-5,FOXI3
-1.1195509422904344,8.545583770768689,25.997232339939032,3.4190715906407046e-7,2.3625114285133025e-5,EPPK1
-0.9572722507327518,7.83083858005165,25.531225165489445,4.3528106402455486e-7,2.9498662877356373e-5,EVPL
-2.3074463846493805,2.061769574036451,25.01847297820723,5.678366137084226e-7,3.775577786242417e-5,TMEM61
-2.9187439789760243,2.1896834745735436,24.76793266016213,6.466436698982622e-7,4.219948690224955e-5,LIPK
-1.92203290991054,4.88540194332621,24.71579015146137,6.643762617102818e-7,4.2568399023036966e-5,GREP1
-1.4183191612964305,8.147774615045732,24.03617553164179,9.454261648501768e-7,5.8496686146626845e-5,GJB2
0.8348623898064819,8.203568593029326,24.034656575745885,9.461722787621255e-7,5.8496686146626845e-5,SEC11C
-0.8664784491807008,9.243133770230832,23.35243356761623,1.3487276588688441e-6,8.194683223885874e-5,MPZL2
-3.068661018266129,4.5879585948140855,23.2976338611608,1.3877061718297612e-6,8.288604321234031e-5,OCLN
-2.1838501384175073,5.212242733278842,23.159492121521282,1.4910536037752026e-6,8.75745483283969e-5,SPRR1A
-2.445169455455827,1.6523637760065701,23.07357202792319,1.5591915091444353e-6,9.005387058652053e-5,KPNA7
-1.0074890925170101,8.391930946445441,23.042765452526986,1.584375702714039e-6,9.005387058652053e-5,EGR1
-2.5241401714559424,2.6772102116728496,22.811956272882384,1.786508285260551e-6,9.993103487711399e-5,RAET1L
-0.8524815598754935,8.09971512499606,22.333833511366322,2.2913384801005973e-6,1.2616682506053913e-4,SOX15
-3.0073557228323224,1.0413008657537395,22.299089265123186,2.333172370994792e-6,1.264938374674715e-4,PGLYRP3
-1.2412001923085065,9.41682248132375,22.185067423665828,2.4759200141118023e-6,1.3219912317772713e-4,CLDN1
2.266440635726098,1.608518266636034,21.889685465711988,2.8878197199057545e-6,1.5189069690966985e-4,LY6G5C
1.4392477252743432,6.918634242868368,21.608955350228015,3.3428735862765375e-6,1.732395076182135e-4,CHST2
1.1124522836126145,11.231615043097339,21.40070170869558,3.7263478253818843e-6,1.8993497027117566e-4,SOD2
-4.85153150548754,-0.13159311757406364,21.356135753850324,3.8139814415917217e-6,1.8993497027117566e-4,PPT2-EGFL8
-2.70388680735704,2.9269871194715886,21.349740181641884,3.8267261320242544e-6,1.8993497027117566e-4,CEACAM6
1.1147949567623383,6.179254676352115,20.945014227947574,4.726563524838128e-6,2.3050849234348462e-4,TNFAIP8L3
-2.5179790491364584,8.789976475849171,20.92548066049119,4.775005658647667e-6,2.3050849234348462e-4,SPRR2D
1.973022760401847,2.6253065842049517,20.883397492006818,4.88106936554935e-6,2.3244443843507988e-4,F2RL2
3.2767045451258774,1.0596304698352887,20.790789437142145,5.122874596886289e-6,2.4070680105903042e-4,ADAM32
-2.037570229586485,2.1195013712741413,20.17455979685695,7.068679793671871e-6,3.277635209592063e-4,FAM83E
2.1519613400621895,1.6621935255582612,19.62625635914223,9.416621791967869e-6,4.309633142194126e-4,PPBP
-2.5083105982797536,1.315175433184084,19.539763287068897,9.852728411867942e-6,4.451412169669568e-4,CALML5
-3.5320431672427524,0.34998608169696543,19.415940194599486,1.0512595469995187e-5,4.689416004590258e-4,CACNG4
-1.939036678000897,3.9189956411673714,18.97815781960011,1.32223432584576e-5,5.824442205350572e-4,NKX1-2
2.5298847952142722,1.3807603180094588,18.938515369701538,1.3499948633761558e-5,5.873310985848856e-4,OMD
1.6760995212281051,5.154026993043002,18.84400024155849,1.4185660200110152e-5,6.096373968925388e-4,RPL7P1
-0.9327944736035481,10.150078213655117,18.492719723881237,1.7055455124147356e-5,7.217202051282959e-4,DSG3
-0.8897681242505583,7.147020465540976,18.476267971317476,1.720331930498776e-5,7.217202051282959e-4,MROH6
-2.2455239198413364,3.200034541993396,18.109047112633874,2.086079043501188e-5,8.648638293291985e-4,FER1L6
-2.139290043447725,1.7535840796074238,18.08203562409696,2.1158833902506804e-5,8.665239516152702e-4,HTR1D
1.4565841202525929,4.263766615249652,18.06111415225559,2.139261742069481e-5,8.665239516152702e-4,HRNR
-0.8453915144549988,8.523651881775733,18.030704206825703,2.173706379676586e-5,8.704706002250329e-4,VPS37B
-1.9561127027946386,2.419653181723917,18.005509243828143,2.2026658268862287e-5,8.721566712300079e-4,KHDC1L
-1.7013330846700756,7.121882647443059,17.75360368567624,2.5144075416217598e-5,9.845302418527869e-4,WNT9A
-1.5303288628466736,4.50021780136629,17.371816052298232,3.073498982039683e-5,0.0011902209244733892,VANGL2
-0.76381135619833,7.424510949357751,17.249819474089506,3.2772868791233024e-5,0.0012553433654380996,PTS
-1.0399813233814756,7.036833208552629,16.945565632752235,3.8467067063441934e-5,0.0014576123046405307,HYOU1
2.28061305738802,0.9028377864592029,16.728932002747666,4.31184061313325e-5,0.0016164815234767631,CFAP144P1
-1.8470492003605405,3.17979876399379,16.555407785272052,4.724905198445913e-5,0.0017526911494024629,TCN1
0.7843308484617593,9.30893922017607,16.363939299706544,5.22703024228891e-5,0.0019187556847735541,MT1X
1.5819542021415451,3.0398486499396267,16.263766242094164,5.510773845647439e-5,0.0020020584569135644,C3AR1
-0.7463991522046663,7.68638499225651,16.123391845778272,5.934647771783594e-5,0.002134050892629121,CELSR2
1.3573907971600936,5.491374987175374,16.077445329533788,6.080392697359273e-5,0.002164374127827685,SULT1B1
-1.6052007928223742,10.584776618577493,15.990946643358257,6.364611645533005e-5,0.002242889143885831,CD24
-1.6729544896989912,3.701515656313717,15.82196114968545,6.959009425234615e-5,0.002428074179656117,IL17D
1.0661615992587274,5.412359406047245,15.793478871459314,7.064557803571089e-5,0.002440735460763188,FAM229B
1.9472327313980091,1.862911672610339,15.712893508369023,7.371993700378804e-5,0.0025222238640907673,ABCD2
-1.1470268075985683,5.158737439064975,15.650278310512249,7.620136645988468e-5,0.0025820539942753235,SLC16A13
-2.062833426508915,2.6880264424499094,15.603694100160627,7.810185583065883e-5,0.0026212470471165877,MGARP
2.1311880108170715,5.549033797327119,15.585096097835013,7.887384998452526e-5,0.0026221834655232737,SRGN
-1.9500333588264673,1.7759545226918436,15.393432063152863,8.729117403466338e-5,0.002874898105590222,ZFP57
-1.4922455824704022,3.501217478970437,15.227367389524474,9.531212094227628e-5,0.003096291428730513,SLC2A12
-1.7126208920071782,4.2013634568505696,15.218303813285882,9.577064861850907e-5,0.003096291428730513,SLC6A14
1.6711529271303232,1.7259372650310008,15.085143304525525,1.0276892960307226e-4,0.0032624722812513622,SPDYE6
0.7276207964969498,7.486360421965196,15.0798302374019,1.0305859635482098e-4,0.0032624722812513622,F2R
-0.8182562717845394,9.916301646018404,15.06833535522071,1.0368810882524192e-4,0.0032624722812513622,TFCP2L1
1.392304467745233,5.20516271886495,14.92652547073859,1.1178021965990203e-4,0.0034859601246149978,SHISAL1
-0.758804813039237,7.636061485165976,14.891022802941018,1.1390374506475415e-4,0.0035210245404227515,VGLL3
-1.8891788978204085,1.88432466433752,14.850327537801476,1.1638785677176976e-4,0.0035665287588149274,LOC100289206
0.6905033276663985,8.953022252158776,14.750997115869126,1.2268262956684214e-4,0.0037270136775306184,SERINC1
-1.067678751407688,5.800341565401128,14.695122786185621,1.2637298113566688e-4,0.003806310987368291,FOXA1
-2.39945516375354,2.585224380366111,14.50564546753867,1.397401353786188e-4,0.004173256246391972,IMPDH1P10
-2.5867207293220753,0.46566599486116156,14.3740688214851,1.4985179824461347e-4,0.004437628042134604,SCGB1A1
1.2232604639384612,4.698734649738517,14.32671596968688,1.5366849720766556e-4,0.004512731534665112,SLC12A7
2.2473587056597664,0.3273834146188146,14.299210878849873,1.5593023264158298e-4,0.004541306940735028,PAGE3
-0.6826325642008642,8.147658003374431,14.169189156310352,1.6708423013247234e-4,0.0048262690736625615,SOX7
1.5749320275455205,2.267044361142608,13.86192993989392,1.9674375124186593e-4,0.00563678845021411,AMY2B
-1.366936837377698,8.571547960471678,13.84280908223434,1.9875586948692737e-4,0.005648513581225258,HBEGF
-1.495206863438514,2.8133633719626756,13.524947474158488,2.3541297854811713e-4,0.006604010835368241,GOLT1A
1.7522208526083771,3.1317451152739206,13.519277979826835,2.3612524553246264e-4,0.006604010835368241,ASDURF
-0.8196080702194612,7.077665297390919,13.414827734943799,2.4964308778502943e-4,0.006863051220863376,PRAG1
-1.152959206125109,4.635763506497695,13.413409085156669,2.4983195883875785e-4,0.006863051220863376,MARCHF9
-1.8489614314048155,2.4656645409444065,13.396967474107186,2.5203143750192954e-4,0.006863051220863376,HCAR2
-0.7889598164703425,7.769180693097454,13.388459398066033,2.5317725843139585e-4,0.006863051220863376,JUND
